No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
447,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216358-1203164</a>",184.149333,-12.054556,G,235337,0.785000,UUN,5,0,17,2,2,0,0,0,0,0
448,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216359-1200294</a>",184.149583,-12.008167,G,237735,0.793000,UUN,8,0,27,3,2,0,0,0,0,0
449,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216361-1159014</a>",184.150583,-11.983722,G,144380,0.481600,UUN,5,0,17,2,2,0,0,0,0,0
450,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121636.24-120329.1</a>",184.151125,-12.058056,G,176698,0.589400,UUN,4,0,29,3,2,0,0,0,0,0
451,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121636.42-120010.1</a>",184.151708,-12.002417,G,235877,0.786800,UUN,8,0,39,4,2,0,0,0,0,0
452,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216372-1200419</a>",184.154917,-12.011639,G,198043,0.660600,UUN,7,0,27,4,2,0,0,0,0,0
453,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216377-1203486</a>",184.157250,-12.063500,G,238035,0.794000,UUN,4,0,17,2,2,0,0,0,0,0
454,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J121638.06-120326.4</a>",184.158833,-12.057389,G,238005,0.793900,UUN,6,0,33,4,2,0,0,0,0,0
455,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216382-1202517</a>",184.159292,-12.047694,G,236836,0.790000,UUN,8,0,17,2,2,0,0,0,0,0
456,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216384-1159152</a>",184.160000,-11.987556,G,82683,0.275800,UUN,4,0,27,3,2,0,0,0,0,0
457,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216387-1203013</a>",184.161250,-12.050361,*,,,,3,0,16,1,0,0,0,0,0,0
458,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216387-1201503</a>",184.161417,-12.030639,G,240074,0.800800,UUN,7,0,17,2,2,0,0,0,0,0
459,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216387-1203120</a>",184.161417,-12.053333,G,238575,0.795800,UUN,6,0,17,3,2,0,0,0,0,0
460,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216388-1201470</a>",184.161542,-12.029722,*,,,,3,0,26,2,0,0,0,0,0,0
461,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216388-1202442</a>",184.161792,-12.045611,G,124924,0.416700,UUN,4,0,17,2,2,0,0,0,0,0
462,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216391-1203357</a>",184.162833,-12.059917,G,197893,0.660100,UUN,4,0,17,2,2,0,0,0,0,0
463,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216392-1158034</a>",184.163500,-11.967611,G,264297,0.881600,UUN,4,0,17,2,2,0,0,0,0,0
464,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216394-1203464</a>",184.164208,-12.062889,G,176518,0.588800,UUN,4,0,17,2,2,0,0,0,0,0
465,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216397-1203072</a>",184.165375,-12.052000,G,162997,0.543700,UUN,4,0,25,3,2,0,0,0,0,0
466,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216399-1158170</a>",184.166167,-11.971389,G,81753,0.272700,UUN,4,0,17,2,2,0,0,0,0,0
467,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">EDCSN J1216399-1159529</a>",184.166292,-11.998028,G,222326,0.741600,UUN,4,0,25,3,2,0,0,0,0,0
